,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales
14,22/11/2016,26/11/2016,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81
15,22/11/2016,26/11/2016,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544
16,11/11/2015,18/11/2015,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88
17,13/05/2015,15/05/2015,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5
18,27/08/2015,01/09/2015,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Office Supplies,Art,Newell 341,8.56
19,27/08/2015,01/09/2015,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Technology,Phones,Cisco SPA 501G IP Phone,213.48
20,27/08/2015,01/09/2015,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72
21,09/12/2017,13/12/2017,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Art,Newell 318,19.46
22,09/12/2017,13/12/2017,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34
23,16/07/2018,18/07/2018,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372
24,25/09/2016,30/09/2016,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63
25,16/01/2017,20/01/2017,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648
26,16/01/2017,20/01/2017,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57
27,17/09/2016,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43
28,17/09/2016,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618
29,17/09/2016,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2
30,17/09/2016,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264
31,17/09/2016,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304
32,17/09/2016,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858
33,17/09/2016,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,Lumber Crayons,15.76
34,19/10/2018,23/10/2018,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,Central,Office Supplies,Paper,Easy-staple paper,29.472
35,08/12/2017,10/12/2017,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,Central,Technology,Phones,GE 30524EE4,1097.544
36,08/12/2017,10/12/2017,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92
37,27/12/2016,31/12/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328
38,27/12/2016,31/12/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992
39,27/12/2016,31/12/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058
40,27/12/2016,31/12/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Technology,Phones,Plantronics HL10 Handset Lifter,371.168
41,10/09/2018,15/09/2018,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,Central,Technology,Phones,Panasonic Kx-TS550,147.168
42,17/07/2017,22/07/2017,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88
43,19/09/2018,23/09/2018,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616
44,11/03/2017,13/03/2017,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98
45,11/03/2017,13/03/2017,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46
46,20/10/2015,25/10/2015,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96
47,20/06/2017,25/06/2017,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0
48,20/06/2017,25/06/2017,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8
49,18/04/2016,22/04/2016,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22
50,18/04/2016,22/04/2016,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Labels,Avery 485,75.18
51,18/04/2016,22/04/2016,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16
52,18/04/2016,22/04/2016,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Furniture,Chairs,"Global Leather Task Chair, Black",89.99
53,11/12/2017,17/12/2017,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,East,Office Supplies,Fasteners,Advantus Push Pins,15.26
54,11/12/2017,17/12/2017,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95
55,17/06/2017,18/06/2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56
56,17/06/2017,18/06/2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Paper,Xerox 232,32.4
57,17/06/2017,18/06/2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41
58,17/06/2017,18/06/2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56
59,17/06/2017,18/06/2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0
60,17/06/2017,18/06/2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Binders,Plastic Binding Combs,48.48
61,17/06/2017,18/06/2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68
62,24/11/2016,30/11/2016,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98
63,24/11/2016,30/11/2016,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824
64,24/11/2016,30/11/2016,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,Xerox 1943,146.73
65,24/11/2016,30/11/2016,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76
66,30/04/2016,05/05/2016,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115
67,05/12/2015,10/12/2015,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024
68,05/12/2015,10/12/2015,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,West,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968
69,04/06/2017,06/06/2017,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88
70,18/09/2017,23/09/2017,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616
71,14/09/2018,17/09/2018,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05
72,26/04/2016,02/05/2016,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,Furniture,Chairs,High-Back Leather Manager's Chair,831.936
73,26/04/2016,02/05/2016,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04
74,26/04/2016,02/05/2016,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784
75,09/12/2018,11/12/2018,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Central,Office Supplies,Binders,Economy Binders,1.248
76,09/12/2018,11/12/2018,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708
77,09/12/2018,11/12/2018,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24
78,26/11/2015,01/12/2015,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3
79,12/06/2017,15/06/2017,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16
80,12/06/2017,15/06/2017,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74
81,12/10/2015,16/10/2015,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9
82,12/10/2015,16/10/2015,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39
83,03/09/2016,08/09/2016,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984
84,13/11/2018,16/11/2018,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376
85,28/05/2018,30/05/2018,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96
86,26/10/2018,02/11/2018,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99
87,26/10/2018,02/11/2018,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,Labels,Avery 511,6.16
88,05/04/2017,10/04/2017,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368
89,17/09/2017,22/09/2017,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1
90,17/09/2017,22/09/2017,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,West,Technology,Phones,Panasonic Kx-TS550,73.584
91,17/09/2017,22/09/2017,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,West,Office Supplies,Paper,Xerox 1995,6.48
92,31/01/2016,05/02/2016,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Paper,Xerox 1999,12.96
93,31/01/2016,05/02/2016,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34
94,31/01/2016,05/02/2016,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96
95,06/11/2018,12/11/2018,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682
96,09/11/2018,11/11/2018,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53
97,17/06/2018,20/06/2018,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312
98,06/09/2017,11/09/2017,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88
99,29/08/2017,02/09/2017,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624
100,29/08/2017,02/09/2017,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976
101,29/08/2017,02/09/2017,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788
102,01/12/2017,04/12/2017,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92
103,13/11/2016,17/11/2016,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896
104,13/11/2016,17/11/2016,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36
105,13/11/2016,17/11/2016,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882
106,23/11/2018,28/11/2018,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112
107,23/11/2018,28/11/2018,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,Technology,Phones,Speck Products Candyshell Flip Case,27.992
108,23/11/2018,28/11/2018,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,Office Supplies,Art,Newell Chalk Holder,3.304
109,15/10/2016,20/10/2016,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,Central,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96
110,25/12/2018,30/12/2018,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,East,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96
111,03/11/2017,10/11/2017,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96
112,03/11/2017,10/11/2017,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24
113,25/08/2015,27/08/2015,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096
114,25/08/2015,27/08/2015,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72
115,25/08/2015,27/08/2015,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1921,23.976
116,25/08/2015,27/08/2015,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464
117,02/03/2016,06/03/2016,Standard Class,DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,West,Furniture,Tables,Hon Racetrack Conference Tables,787.53
118,05/04/2016,10/04/2016,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,South,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794
119,12/06/2017,15/06/2017,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Furniture,Furnishings,Artistic Insta-Plaque,47.04
120,12/06/2017,15/06/2017,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84
121,12/06/2017,15/06/2017,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56
122,12/06/2017,15/06/2017,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02
123,12/06/2017,15/06/2017,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04
124,26/12/2015,28/12/2015,Second Class,AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,Central,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558
125,20/09/2015,25/09/2015,Standard Class,PF-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,Central,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7
126,05/11/2018,12/11/2018,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,West,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388
127,05/11/2018,12/11/2018,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,West,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992
128,06/11/2017,10/11/2017,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,West,Furniture,Chairs,"Global Task Chair, Black",81.424
129,06/11/2017,10/11/2017,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,West,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56
130,02/02/2018,05/02/2018,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97
131,02/02/2018,05/02/2018,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1916,78.304
132,02/02/2018,05/02/2018,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,Office Supplies,Fasteners,Staples,21.456
133,13/10/2017,19/10/2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Paper,Xerox 195,20.04
134,13/10/2017,19/10/2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Paper,Xerox 1880,35.44
135,13/10/2017,19/10/2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52
136,13/10/2017,19/10/2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Fasteners,Ideal Clamps,4.02
137,13/10/2017,19/10/2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Binders,GBC Wire Binding Strips,76.176
138,13/10/2017,19/10/2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88
139,13/10/2017,19/10/2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12
140,05/09/2017,07/09/2017,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8
141,18/09/2018,23/09/2018,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,West,Office Supplies,Art,Newell 343,8.82
142,18/09/2018,23/09/2018,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,West,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86
143,18/09/2018,23/09/2018,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,West,Office Supplies,Paper,Xerox 1911,143.7
144,22/12/2018,27/12/2018,Standard Class,SG-20080,Sandra Glassco,Consumer,United States,Independence,Missouri,Central,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43
145,07/09/2016,12/09/2016,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,West,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93
146,22/10/2015,28/10/2015,Standard Class,MG-17680,Maureen Gastineau,Home Office,United States,Newark,Ohio,East,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888
147,05/12/2017,09/12/2017,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45
