Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Sales,Product Brand,Product Name,Shipping Time
592,"US-2017-156986",2017-03-20 00:00:00.000,2017-03-24 00:00:00.000,"Standard Class","ZC-21910","Zuschuss Carroll","Consumer","United States","Salem","Oregon","97301","West","OFF-PA-10004101","Office Supplies","Paper",10.368,"Xerox","Xerox",4
607,"CA-2015-149958",2015-03-15 00:00:00.000,2015-03-19 00:00:00.000,"Standard Class","AS-10240","Alan Shonely","Consumer","United States","Tampa","Florida","33614","South","OFF-PA-10002120","Office Supplies","Paper",131.904,"Xerox","Xerox",4
613,"CA-2017-121223",2017-09-11 00:00:00.000,2017-09-13 00:00:00.000,"Second Class","GD-14590","Giulietta Dortch","Corporate","United States","Philadelphia","Pennsylvania","19143","East","OFF-PA-10001204","Office Supplies","Paper",8.448,"Xerox","Xerox",2
645,"US-2018-127719",2018-07-21 00:00:00.000,2018-07-25 00:00:00.000,"Standard Class","TW-21025","Tamara Willingham","Home Office","United States","Plainfield","New Jersey","7060","East","OFF-PA-10001934","Office Supplies","Paper",6.48,"Xerox","Xerox",4
653,"CA-2018-140844",2018-06-19 00:00:00.000,2018-06-23 00:00:00.000,"Standard Class","AR-10405","Allen Rosenblatt","Corporate","United States","New York City","New York","10035","East","OFF-PA-10003892","Office Supplies","Paper",97.82,"Xerox","Xerox",4
688,"CA-2015-157784",2015-07-05 00:00:00.000,2015-07-08 00:00:00.000,"First Class","MC-17845","Michael Chen","Consumer","United States","Jackson","Mississippi","39212","South","OFF-PA-10000304","Office Supplies","Paper",19.44,"Xerox","Xerox",3
694,"CA-2016-131534",2016-03-28 00:00:00.000,2016-04-02 00:00:00.000,"Standard Class","AB-10165","Alan Barnes","Consumer","United States","Los Angeles","California","90036","West","OFF-PA-10000743","Office Supplies","Paper",33.4,"Xerox","Xerox",5
705,"CA-2015-138527",2015-09-12 00:00:00.000,2015-09-17 00:00:00.000,"Standard Class","BN-11470","Brad Norvell","Corporate","United States","Cary","North Carolina","27511","South","OFF-PA-10001800","Office Supplies","Paper",10.368,"Xerox","Xerox",5
728,"US-2017-150861",2017-12-03 00:00:00.000,2017-12-06 00:00:00.000,"First Class","EG-13900","Emily Grady","Consumer","United States","Oceanside","New York","11572","East","OFF-PA-10001954","Office Supplies","Paper",182.72,"Xerox","Xerox",3
745,"US-2017-146710",2017-08-27 00:00:00.000,2017-09-01 00:00:00.000,"Standard Class","SS-20875","Sung Shariari","Consumer","United States","Dallas","Texas","75220","Central","OFF-PA-10004971","Office Supplies","Paper",4.624,"Xerox","Xerox",5
761,"CA-2016-112319",2016-08-31 00:00:00.000,2016-09-05 00:00:00.000,"Standard Class","AR-10510","Andrew Roberts","Consumer","United States","Los Angeles","California","90004","West","OFF-PA-10003441","Office Supplies","Paper",58.32,"Xerox","Xerox",5
779,"CA-2016-144267",2016-08-21 00:00:00.000,2016-08-23 00:00:00.000,"First Class","NZ-18565","Nick Zandusky","Home Office","United States","San Francisco","California","94110","West","OFF-PA-10000157","Office Supplies","Paper",59.94,"Xerox","Xerox",2
780,"CA-2016-144267",2016-08-21 00:00:00.000,2016-08-23 00:00:00.000,"First Class","NZ-18565","Nick Zandusky","Home Office","United States","San Francisco","California","94110","West","OFF-PA-10001947","Office Supplies","Paper",23.92,"Xerox","Xerox",2
781,"CA-2016-144267",2016-08-21 00:00:00.000,2016-08-23 00:00:00.000,"First Class","NZ-18565","Nick Zandusky","Home Office","United States","San Francisco","California","94110","West","OFF-PA-10003657","Office Supplies","Paper",4.28,"Xerox","Xerox",2
797,"CA-2016-124653",2016-12-24 00:00:00.000,2016-12-26 00:00:00.000,"First Class","DB-13120","David Bremer","Corporate","United States","Rochester","New York","14609","East","OFF-PA-10000176","Office Supplies","Paper",132.79,"Xerox","Xerox",2
798,"CA-2016-124653",2016-12-24 00:00:00.000,2016-12-26 00:00:00.000,"First Class","DB-13120","David Bremer","Corporate","United States","Rochester","New York","14609","East","OFF-PA-10002365","Office Supplies","Paper",12.96,"Xerox","Xerox",2
804,"CA-2017-115504",2017-03-12 00:00:00.000,2017-03-17 00:00:00.000,"Standard Class","MC-18130","Mike Caudle","Corporate","United States","Monroe","Louisiana","71203","South","OFF-PA-10003953","Office Supplies","Paper",12.96,"Xerox","Xerox",5
816,"CA-2016-106565",2016-03-20 00:00:00.000,2016-03-23 00:00:00.000,"First Class","BW-11110","Bart Watters","Corporate","United States","Milwaukee","Wisconsin","53209","Central","OFF-PA-10000061","Office Supplies","Paper",51.84,"Xerox","Xerox",3
817,"CA-2017-149370",2017-09-15 00:00:00.000,2017-09-19 00:00:00.000,"Standard Class","DB-13210","Dean Braden","Consumer","United States","Philadelphia","Pennsylvania","19140","East","OFF-PA-10003651","Office Supplies","Paper",5.344,"Xerox","Xerox",4
818,"CA-2015-140858",2015-06-28 00:00:00.000,2015-07-02 00:00:00.000,"Standard Class","CA-12775","Cynthia Arntzen","Consumer","United States","Philadelphia","Pennsylvania","19140","East","OFF-PA-10000304","Office Supplies","Paper",41.472,"Xerox","Xerox",4
822,"CA-2015-140858",2015-06-28 00:00:00.000,2015-07-02 00:00:00.000,"Standard Class","CA-12775","Cynthia Arntzen","Consumer","United States","Philadelphia","Pennsylvania","19140","East","OFF-PA-10003395","Office Supplies","Paper",335.52,"Xerox","Xerox",4
852,"CA-2017-152534",2017-06-20 00:00:00.000,2017-06-25 00:00:00.000,"Second Class","DP-13105","Dave Poirier","Corporate","United States","Salinas","California","93905","West","OFF-PA-10001870","Office Supplies","Paper",38.88,"Xerox","Xerox",5
856,"CA-2015-125612",2015-08-03 00:00:00.000,2015-08-08 00:00:00.000,"Standard Class","BK-11260","Berenike Kampe","Consumer","United States","New York City","New York","10035","East","OFF-PA-10001019","Office Supplies","Paper",39.96,"Xerox","Xerox",5
875,"CA-2018-114636",2018-08-25 00:00:00.000,2018-08-29 00:00:00.000,"Standard Class","GA-14725","Guy Armstrong","Consumer","United States","Charlotte","North Carolina","28205","South","OFF-PA-10001790","Office Supplies","Paper",192.16,"Xerox","Xerox",4
889,"CA-2015-104976",2015-12-09 00:00:00.000,2015-12-16 00:00:00.000,"Standard Class","CK-12760","Cyma Kinney","Corporate","United States","San Francisco","California","94122","West","OFF-PA-10003845","Office Supplies","Paper",34.68,"Xerox","Xerox",7
904,"CA-2017-130477",2017-04-08 00:00:00.000,2017-04-12 00:00:00.000,"Standard Class","LC-17140","Logan Currie","Consumer","United States","Los Angeles","California","90032","West","OFF-PA-10002947","Office Supplies","Paper",20.04,"Xerox","Xerox",4
906,"CA-2017-130477",2017-04-08 00:00:00.000,2017-04-12 00:00:00.000,"Standard Class","LC-17140","Logan Currie","Consumer","United States","Los Angeles","California","90032","West","OFF-PA-10000019","Office Supplies","Paper",12.96,"Xerox","Xerox",4
926,"CA-2015-132962",2015-09-13 00:00:00.000,2015-09-16 00:00:00.000,"First Class","JM-15535","Jessica Myrick","Consumer","United States","Philadelphia","Pennsylvania","19143","East","OFF-PA-10003543","Office Supplies","Paper",15.552,"Xerox","Xerox",3
932,"CA-2018-144932",2018-04-14 00:00:00.000,2018-04-17 00:00:00.000,"First Class","AB-10165","Alan Barnes","Consumer","United States","Toledo","Ohio","43615","East","OFF-PA-10004971","Office Supplies","Paper",13.872,"Xerox","Xerox",3
936,"CA-2017-140081",2017-06-20 00:00:00.000,2017-06-24 00:00:00.000,"Standard Class","CG-12040","Catherine Glotzbach","Home Office","United States","Philadelphia","Pennsylvania","19120","East","OFF-PA-10001870","Office Supplies","Paper",15.552,"Xerox","Xerox",4
939,"CA-2016-148250",2016-12-13 00:00:00.000,2016-12-17 00:00:00.000,"Standard Class","RP-19270","Rachel Payne","Corporate","United States","Riverside","California","92503","West","OFF-PA-10000289","Office Supplies","Paper",12.96,"Xerox","Xerox",4
944,"CA-2016-120880",2016-05-29 00:00:00.000,2016-06-03 00:00:00.000,"Standard Class","JL-15850","John Lucas","Consumer","United States","Seattle","Washington","98105","West","OFF-PA-10004101","Office Supplies","Paper",32.4,"Xerox","Xerox",5
951,"US-2018-110576",2018-11-28 00:00:00.000,2018-12-02 00:00:00.000,"Standard Class","RB-19795","Ross Baird","Home Office","United States","Philadelphia","Pennsylvania","19120","East","OFF-PA-10000788","Office Supplies","Paper",15.552,"Xerox","Xerox",4
967,"CA-2018-135279",2018-04-09 00:00:00.000,2018-04-11 00:00:00.000,"First Class","BS-11800","Bryan Spruell","Home Office","United States","New York City","New York","10011","East","OFF-PA-10004621","Office Supplies","Paper",12.96,"Xerox","Xerox",2
980,"CA-2016-157035",2016-12-09 00:00:00.000,2016-12-12 00:00:00.000,"First Class","KB-16600","Ken Brennan","Corporate","United States","Columbus","Indiana","47201","Central","OFF-PA-10004156","Office Supplies","Paper",34.02,"Xerox","Xerox",3
994,"CA-2017-105585",2017-08-26 00:00:00.000,2017-08-27 00:00:00.000,"First Class","RF-19735","Roland Fjeld","Consumer","United States","San Jose","California","95123","West","OFF-PA-10003625","Office Supplies","Paper",154.9,"Xerox","Xerox",1
1004,"CA-2016-124891",2016-07-31 00:00:00.000,2016-07-31 00:00:00.000,"Same Day","RH-19495","Rick Hansen","Consumer","United States","New York City","New York","10024","East","OFF-PA-10004621","Office Supplies","Paper",19.44,"Xerox","Xerox",0
1006,"CA-2016-111199",2016-11-13 00:00:00.000,2016-11-17 00:00:00.000,"Standard Class","JK-15730","Joe Kamberova","Consumer","United States","Jacksonville","North Carolina","28540","South","OFF-PA-10001790","Office Supplies","Paper",115.296,"Xerox","Xerox",4
1016,"CA-2016-133025",2016-09-17 00:00:00.000,2016-09-19 00:00:00.000,"Second Class","MO-17800","Meg O'Connel","Home Office","United States","Los Angeles","California","90036","West","OFF-PA-10004100","Office Supplies","Paper",32.4,"Xerox","Xerox",2
1026,"CA-2017-126529",2017-01-11 00:00:00.000,2017-01-13 00:00:00.000,"Second Class","DE-13255","Deanra Eno","Home Office","United States","Springfield","Ohio","45503","East","OFF-PA-10001166","Office Supplies","Paper",15.552,"Xerox","Xerox",2
1027,"CA-2017-126529",2017-01-11 00:00:00.000,2017-01-13 00:00:00.000,"Second Class","DE-13255","Deanra Eno","Home Office","United States","Springfield","Ohio","45503","East","OFF-PA-10003656","Office Supplies","Paper",63.312,"Xerox","Xerox",2
1072,"CA-2017-152814",2017-04-28 00:00:00.000,2017-05-02 00:00:00.000,"Standard Class","EH-14005","Erica Hernandez","Home Office","United States","Denver","Colorado","80219","West","OFF-PA-10001970","Office Supplies","Paper",29.472,"Xerox","Xerox",4
1087,"CA-2017-167584",2017-08-12 00:00:00.000,2017-08-12 00:00:00.000,"Same Day","LC-16870","Lena Cacioppo","Consumer","United States","Des Moines","Iowa","50315","Central","OFF-PA-10000029","Office Supplies","Paper",6.48,"Xerox","Xerox",0
1094,"CA-2016-165085",2016-12-27 00:00:00.000,2016-12-31 00:00:00.000,"Standard Class","BT-11485","Brad Thomas","Home Office","United States","Clinton","Maryland","20735","East","OFF-PA-10000605","Office Supplies","Paper",28.9,"Xerox","Xerox",4
1112,"US-2017-110156",2017-11-19 00:00:00.000,2017-11-24 00:00:00.000,"Standard Class","EH-13945","Eric Hoffmann","Consumer","United States","Houston","Texas","77041","Central","OFF-PA-10004735","Office Supplies","Paper",10.368,"Xerox","Xerox",5
1118,"CA-2016-142755",2016-09-04 00:00:00.000,2016-09-08 00:00:00.000,"Standard Class","CS-12355","Christine Sundaresam","Consumer","United States","Roswell","Georgia","30076","South","OFF-PA-10001970","Office Supplies","Paper",279.9,"Xerox","Xerox",4
1131,"CA-2017-112102",2017-04-12 00:00:00.000,2017-04-16 00:00:00.000,"Standard Class","BD-11605","Brian Dahlen","Consumer","United States","Springfield","Virginia","22153","South","OFF-PA-10000100","Office Supplies","Paper",40.99,"Xerox","Xerox",4
1133,"US-2017-114776",2017-12-06 00:00:00.000,2017-12-07 00:00:00.000,"First Class","GG-14650","Greg Guthrie","Corporate","United States","Antioch","California","94509","West","OFF-PA-10004100","Office Supplies","Paper",19.44,"Xerox","Xerox",1
1139,"CA-2017-152170",2017-11-12 00:00:00.000,2017-11-15 00:00:00.000,"Second Class","FH-14275","Frank Hawley","Corporate","United States","La Porte","Indiana","46350","Central","OFF-PA-10001763","Office Supplies","Paper",19.98,"Xerox","Xerox",3
1144,"CA-2015-146969",2015-09-29 00:00:00.000,2015-10-03 00:00:00.000,"Standard Class","AP-10915","Arthur Prichep","Consumer","United States","Los Angeles","California","90045","West","OFF-PA-10002105","Office Supplies","Paper",6.48,"Xerox","Xerox",4
1170,"CA-2018-145226",2018-12-08 00:00:00.000,2018-12-10 00:00:00.000,"Second Class","DL-13315","Delfina Latchford","Consumer","United States","New York City","New York","10035","East","OFF-PA-10003172","Office Supplies","Paper",19.44,"Xerox","Xerox",2
1187,"CA-2015-127131",2015-11-24 00:00:00.000,2015-11-30 00:00:00.000,"Standard Class","HR-14830","Harold Ryan","Corporate","United States","Seattle","Washington","98103","West","OFF-PA-10001800","Office Supplies","Paper",25.92,"Xerox","Xerox",6
1192,"CA-2018-117212",2018-02-26 00:00:00.000,2018-02-28 00:00:00.000,"Second Class","BT-11530","Bradley Talbott","Home Office","United States","Los Angeles","California","90036","West","OFF-PA-10001970","Office Supplies","Paper",223.92,"Xerox","Xerox",2
1193,"CA-2018-117212",2018-02-26 00:00:00.000,2018-02-28 00:00:00.000,"Second Class","BT-11530","Bradley Talbott","Home Office","United States","Los Angeles","California","90036","West","OFF-PA-10000682","Office Supplies","Paper",23.12,"Xerox","Xerox",2
1194,"US-2016-130519",2016-09-15 00:00:00.000,2016-09-15 00:00:00.000,"Same Day","NG-18355","Nat Gilpin","Corporate","United States","Coral Springs","Florida","33065","South","OFF-PA-10001937","Office Supplies","Paper",15.552,"Xerox","Xerox",0
1274,"CA-2017-119186",2017-05-26 00:00:00.000,2017-05-26 00:00:00.000,"Same Day","MS-17710","Maurice Satty","Consumer","United States","Fort Worth","Texas","76106","Central","OFF-PA-10004621","Office Supplies","Paper",10.368,"Xerox","Xerox",0
1284,"CA-2018-122154",2018-04-09 00:00:00.000,2018-04-11 00:00:00.000,"First Class","SA-20830","Sue Ann Reed","Consumer","United States","Jacksonville","Florida","32216","South","OFF-PA-10000994","Office Supplies","Paper",251.64,"Xerox","Xerox",2
1292,"CA-2017-163384",2017-11-10 00:00:00.000,2017-11-12 00:00:00.000,"First Class","CC-12430","Chuck Clark","Home Office","United States","San Francisco","California","94122","West","OFF-PA-10003172","Office Supplies","Paper",32.4,"Xerox","Xerox",2
1294,"CA-2016-101707",2016-08-27 00:00:00.000,2016-09-01 00:00:00.000,"Standard Class","PF-19165","Philip Fox","Consumer","United States","San Diego","California","92105","West","OFF-PA-10002968","Office Supplies","Paper",114.2,"Xerox","Xerox",5
1307,"CA-2017-141397",2017-06-20 00:00:00.000,2017-06-21 00:00:00.000,"First Class","RC-19825","Roy Collins","Consumer","United States","Pasadena","California","91104","West","OFF-PA-10002986","Office Supplies","Paper",46.76,"Xerox","Xerox",1
1328,"CA-2017-128258",2017-03-30 00:00:00.000,2017-04-01 00:00:00.000,"First Class","CP-12085","Cathy Prescott","Corporate","United States","Norwich","Connecticut","6360","East","OFF-PA-10004156","Office Supplies","Paper",11.34,"Xerox","Xerox",2
1358,"CA-2017-145247",2017-05-05 00:00:00.000,2017-05-07 00:00:00.000,"First Class","ND-18370","Natalie DeCherney","Consumer","United States","Louisville","Kentucky","40214","South","OFF-PA-10003641","Office Supplies","Paper",79.14,"Xerox","Xerox",2
1377,"CA-2015-126361",2015-08-04 00:00:00.000,2015-08-09 00:00:00.000,"Second Class","VD-21670","Valerie Dominguez","Consumer","United States","Pleasant Grove","Utah","84062","West","OFF-PA-10000806","Office Supplies","Paper",447.84,"Xerox","Xerox",5
1393,"US-2017-108504",2017-02-05 00:00:00.000,2017-02-05 00:00:00.000,"Same Day","PP-18955","Paul Prost","Home Office","United States","Smyrna","Georgia","30080","South","OFF-PA-10003892","Office Supplies","Paper",342.37,"Xerox","Xerox",0
1398,"CA-2017-124485",2017-11-24 00:00:00.000,2017-11-26 00:00:00.000,"First Class","NC-18340","Nat Carroll","Consumer","United States","New York City","New York","10035","East","OFF-PA-10004971","Office Supplies","Paper",11.56,"Xerox","Xerox",2
1400,"CA-2017-124485",2017-11-24 00:00:00.000,2017-11-26 00:00:00.000,"First Class","NC-18340","Nat Carroll","Consumer","United States","New York City","New York","10035","East","OFF-PA-10004888","Office Supplies","Paper",6.48,"Xerox","Xerox",2
1404,"US-2017-161396",2017-04-19 00:00:00.000,2017-04-25 00:00:00.000,"Standard Class","GM-14455","Gary Mitchum","Home Office","United States","Columbus","Ohio","43229","East","OFF-PA-10000418","Office Supplies","Paper",419.4,"Xerox","Xerox",6
1436,"CA-2018-106852",2018-06-20 00:00:00.000,2018-06-27 00:00:00.000,"Standard Class","ST-20530","Shui Tom","Consumer","United States","Parma","Ohio","44134","East","OFF-PA-10001639","Office Supplies","Paper",31.104,"Xerox","Xerox",7
1441,"CA-2018-122735",2018-04-12 00:00:00.000,2018-04-15 00:00:00.000,"Second Class","BD-11320","Bill Donatelli","Consumer","United States","Providence","Rhode Island","2908","East","OFF-PA-10001712","Office Supplies","Paper",39.96,"Xerox","Xerox",3
1471,"CA-2018-139199",2018-12-09 00:00:00.000,2018-12-13 00:00:00.000,"Standard Class","DK-12835","Damala Kotsonis","Corporate","United States","Detroit","Michigan","48234","Central","OFF-PA-10001293","Office Supplies","Paper",12.96,"Xerox","Xerox",4
1480,"US-2017-108455",2017-12-02 00:00:00.000,2017-12-08 00:00:00.000,"Standard Class","MK-18160","Mike Kennedy","Consumer","United States","San Francisco","California","94122","West","OFF-PA-10002262","Office Supplies","Paper",25.92,"Xerox","Xerox",6
1484,"CA-2018-101210",2018-08-25 00:00:00.000,2018-08-28 00:00:00.000,"Second Class","DW-13540","Don Weiss","Consumer","United States","Jackson","Tennessee","38301","South","OFF-PA-10000130","Office Supplies","Paper",3.424,"Xerox","Xerox",3
1501,"CA-2018-130386",2018-11-12 00:00:00.000,2018-11-18 00:00:00.000,"Standard Class","NG-18430","Nathan Gelder","Consumer","United States","Austin","Texas","78745","Central","OFF-PA-10003823","Office Supplies","Paper",223.056,"Xerox","Xerox",6
1523,"CA-2016-144806",2016-12-06 00:00:00.000,2016-12-11 00:00:00.000,"Standard Class","GH-14425","Gary Hwang","Consumer","United States","Tucson","Arizona","85705","West","OFF-PA-10002586","Office Supplies","Paper",19.92,"Xerox","Xerox",5
